634785434,Harding,Ian,14017167496,Harding.Ian@utahcorp.com,3228 Aliquam St.,84001,XrN40YWD1Rh,11,1,1946,Customer Relations
878570369,Prince,Sopoline,12337091211,Prince.Sopoline@utahcorp.com,1314 Nulla Rd.,84002,GcN18KFF7Yh,4,13,2000,Customer Service
512991556,Ballard,Hollee,12675216128,Ballard.Hollee@utahcorp.com,3860 Ipsum. Road,84003,PrP07AFJ7Tp,10,11,1975,Advertising
833957363,Spencer,Camilla,13619171960,Spencer.Camilla@utahcorp.com,P.O. Box 619 5913 Quisque Ave,84004,TwP60YHE8Kw,4,11,1962,Sales and Marketing
258564488,Hebert,Tasha,17482476013,Hebert.Tasha@utahcorp.com,9315 Vehicula. St.,84005,UhY96WSD6Yp,8,4,2000,Customer Service
544544313,Frazier,Dacey,16468492715,Frazier.Dacey@utahcorp.com,Ap #201-962 Neque. Avenue,84006,FlH56WYJ6Li,12,31,1981,Tech Support
484746936,Robertson,Mohammad,18096820904,Robertson.Mohammad@utahcorp.com,704-8488 Quam St.,84007,IeB18YEU5Zb,12,5,1934,Public Relations
355591721,Boyer,Hunter,17178325282,Boyer.Hunter@utahcorp.com,557-8535 Eget Rd.,84008,UbV84OAE3Kl,6,25,1936,Legal Department
901784484,Price,Hayes,15141903699,Price.Hayes@utahcorp.com,Ap #235-7305 Ac St.,84010,TrQ40DRM2Qo,7,23,1945,Quality Assurance
715516135,Fisher,Sade,18396171968,Fisher.Sade@utahcorp.com,Ap #157-3495 Massa. Street,84011,TzB07YJU5Mo,6,8,1944,Public Relations
817283687,Atkinson,Roanna,17066782708,Atkinson.Roanna@utahcorp.com,Ap #798-9765 Vivamus Rd.,84013,MfZ40SNR3Gp,2,8,2017,Customer Service
631558706,Porter,Noble,19237777407,Porter.Noble@utahcorp.com,9151 Neque St.,84014,HeM89FVF5Py,12,14,1994,Quality Assurance
830906966,Walters,Elizabeth,13217906867,Walters.Elizabeth@utahcorp.com,3903 Gravida. Rd.,84015,HjI13PKO7Co,1,10,1995,Research and Development
556752952,Moran,Nissim,13966777664,Moran.Nissim@utahcorp.com,9935 Dui. Av.,84016,NsJ03BHI7Wc,3,17,1969,Finances
571925615,Pugh,Willa,15749988631,Pugh.Willa@utahcorp.com,973-5750 Donec Rd.,84017,UsE56RFC6Ez,3,24,1951,Asset Management
948991698,Emerson,Cedric,18546020533,Emerson.Cedric@utahcorp.com,365-5896 Vitae Av.,84018,UtH09CQI7Sp,3,22,1938,Customer Relations
355735282,Weber,Summer,14697440724,Weber.Summer@utahcorp.com,586-7334 Massa. St.,84020,ViB71KKE1Vq,7,16,2025,Finances
960701197,Hopkins,Ryan,17612546266,Hopkins.Ryan@utahcorp.com,Ap #440-3309 Mollis St.,84021,MvL96DOU3Cf,8,3,1947,Payroll
675061645,Rivers,Dennis,18865946886,Rivers.Dennis@utahcorp.com,P.O. Box 324 7683 Vulputate Av.,84022,LuG20BAR5Ac,1,26,1941,Legal Department
570571684,Harrell,Kay,15876023852,Harrell.Kay@utahcorp.com,642-7883 Nonummy. St.,84023,FyN64AMH6On,6,12,1947,Advertising
216727205,Whitaker,Kasimir,19706410065,Whitaker.Kasimir@utahcorp.com,940-162 Nunc St.,84024,XuU83UPI3Al,10,11,2025,Customer Relations
447080462,Dunn,Hall,18305357121,Dunn.Hall@utahcorp.com,P.O. Box 560 7595 Morbi St.,84025,QgJ86GGQ7Oe,8,29,1965,Customer Relations
468266446,Nash,Unity,13776826308,Nash.Unity@utahcorp.com,Ap #510-1334 Sit Street,84026,PxM28TAP3Wv,6,22,1991,Public Relations
471217049,Fernandez,Hiroko,17802435738,Fernandez.Hiroko@utahcorp.com,Ap #374-4373 Magna. Avenue,84027,JhW67PLU7Xc,11,11,1991,Public Relations
833462553,Fulton,Elaine,17662469424,Fulton.Elaine@utahcorp.com,Ap #786-9855 Eget Road,84028,OoH88BNN2Yf,11,29,1940,Research and Development
573774198,Cain,Kamal,11426042913,Cain.Kamal@utahcorp.com,P.O. Box 587 5892 Nam Rd.,84029,PeE76EFX8Fj,11,22,2016,Sales and Marketing
374485785,Petersen,Madeson,12969966992,Petersen.Madeson@utahcorp.com,Ap #284-1901 Mauris Rd.,84031,UjG49JLP3Jg,4,26,2000,Quality Assurance
218073275,Morse,Scott,16527623986,Morse.Scott@utahcorp.com,Ap #990-9401 Integer Rd.,84032,HfZ90QNH3Eo,1,27,1956,Quality Assurance
924710146,Harrington,Celeste,14584701330,Harrington.Celeste@utahcorp.com,3156 Sed Rd.,84033,CfT06YJE7Sy,4,16,1960,Customer Relations
